-451, -251, -17051, -7, -31, 23
-453, -243, -17060, -5, -62, 31
-463, -253, -17072, -12, -30, 34
-452, -249, -17061, -4, -60, 20
-440, -250, -17059, -2, -82, 12
-454, -265, -17092, -2, -34, 30
-443, -242, -17066, 0, -58, 29
-434, -248, -17064, 3, -80, 14
-449, -260, -17065, 5, -45, 21
-441, -247, -17075, -11, -27, 27
-456, -254, -17066, 2, -60, 29
-457, -258, -17060, 6, -77, 18
-455, -258, -17076, -10, -6, 36
-438, -252, -17062, 3, -65, 26
-438, -238, -17076, 5, -55, 20
-458, -255, -17070, -9, -19, 38
-439, -238, -17059, -11, -62, 30
-438, -255, -17080, -1, -73, 26
-459, -253, -17057, 1, -50, 17
-440, -244, -17059, -9, -22, 37
-452, -260, -17064, 3, -65, 19
-453, -263, -17062, 0, -57, 16
-451, -251, -17069, -10, -24, 36
-459, -258, -17073, -4, -73, 19
-439, -243, -17060, -4, -53, 28
-467, -249, -17048, -3, -43, 27
-431, -245, -17051, -6, -73, 24
-458, -246, -17081, 1, -42, 23
-454, -254, -17065, -11, -23, 32
-449, -245, -17080, 1, -78, 10
-450, -249, -17089, -2, -35, 20
-435, -233, -17090, -7, -38, 25
-450, -255, -17083, 13, -83, 23
-449, -253, -17057, 0, -39, 26
-445, -255, -17081, 10, -68, 15
-454, -256, -17070, 8, -68, 27
-437, -246, -17072, -10, -15, 36
-436, -248, -17075, -6, -31, 27
-443, -249, -17049, 2, -83, 13
-451, -255, -17073, 3, -63, 22
-463, -256, -17035, -11, -42, 31
-437, -253, -17051, -4, -64, 25
-464, -255, -17039, 2, -48, 25
-440, -248, -17067, -9, -42, 23
-451, -257, -17079, -2, -67, 22
-446, -248, -17058, -12, -15, 32
-448, -250, -17092, 4, -61, 15
-454, -253, -17075, -7, -65, 33
-435, -248, -17065, -9, -45, 23
-472, -268, -17050, -3, -50, 21
-461, -240, -17056, -4, -64, 23
-441, -252, -17080, 5, -47, 18
-454, -250, -17067, 3, -55, 23
-430, -242, -17066, 1, -63, 16
-460, -255, -17071, 0, -32, 23
-443, -245, -17082, -3, -67, 21
-464, -264, -17054, -10, -51, 26
-440, -259, -17067, 7, -39, 23
-438, -245, -17047, -2, -54, 25
-456, -256, -17068, 2, -79, 22
-457, -254, -17061, 3, -63, 19
-457, -251, -17071, -14, -20, 34
-449, -260, -17073, 1, -76, 17
-442, -249, -17067, -5, -40, 27
-451, -259, -17073, 4, -42, 21
-436, -246, -17076, -6, -60, 27
-441, -254, -17050, 1, -54, 25
-458, -256, -17065, -6, -41, 28
-434, -240, -17073, -1, -67, 23
-463, -253, -17061, -6, -64, 20
-452, -246, -17075, 7, -41, 29
-432, -251, -17079, -6, -41, 26
-460, -253, -17059, -3, -77, 21
-451, -250, -17069, 0, -46, 23
-456, -246, -17063, -10, -10, 40
-458, -246, -17075, -1, -70, 22
-440, -255, -17072, -4, -59, 23
-443, -254, -17092, -1, -41, 28
-450, -251, -17051, 5, -91, 13
-458, -267, -17067, -2, -42, 27
-448, -253, -17055, -7, -38, 26
-453, -256, -17062, 7, -82, 27
-454, -255, -17069, 3, -64, 16
-445, -244, -17069, -5, -40, 24
-455, -257, -17069, 7, -74, 19
-458, -260, -17071, 0, -76, 17
-426, -239, -17069, -6, -37, 31
-459, -249, -17069, -3, -55, 31
-427, -246, -17050, 5, -82, 13
-450, -252, -17068, -7, -30, 30
-448, -241, -17063, -8, -63, 17
-456, -262, -17058, -5, -16, 39
-440, -255, -17055, 5, -74, 21
-437, -252, -17068, -2, -29, 29
-458, -260, -17068, -12, -32, 34
-443, -230, -17084, 11, -94, 13
-470, -253, -17066, 3, -59, 21
-452, -243, -17075, -6, -35, 30
-452, -259, -17078, 6, -68, 14
-432, -255, -17054, -8, -40, 30
-439, -239, -17072, 4, -83, 14
-445, -259, -17044, 3, -46, 29
-444, -251, -17084, -5, -73, 23
-444, -245, -17079, 4, -47, 23
-433, -233, -17077, -4, -34, 25
-441, -246, -17104, 1, -61, 21
-459, -253, -17062, -8, -16, 36
-461, -257, -17054, -3, -57, 26
-443, -253, -17073, 5, -66, 21
-430, -244, -17082, -3, -40, 23
-447, -261, -17086, 7, -75, 17
-448, -242, -17056, -5, -75, 21
-454, -259, -17056, -14, -13, 33
-456, -258, -17077, -5, -56, 19
-458, -246, -17055, 1, -58, 24
-436, -258, -17071, -6, -28, 23
-462, -262, -17062, -2, -54, 25
-446, -238, -17055, -3, -64, 28
-449, -272, -17078, -10, -16, 40
-429, -250, -17042, -3, -53, 26
-461, -260, -17062, -2, -65, 27
-445, -253, -17065, -15, -16, 33
-438, -255, -17085, -5, -58, 25
-446, -246, -17077, 11, -99, 11
-441, -237, -17079, 1, -44, 25
-441, -244, -17070, -12, -34, 27
-447, -250, -17065, -4, -58, 26
-434, -249, -17062, 1, -53, 24
-466, -254, -17062, -3, -33, 25
-461, -254, -17068, 6, -73, 13
-455, -260, -17037, 4, -77, 22
-434, -258, -17085, -7, -31, 31
-432, -243, -17071, -3, -61, 27
-427, -252, -17098, 5, -69, 18
-444, -253, -17087, 4, -40, 25
-432, -243, -17066, -1, -44, 27
-460, -265, -17071, 2, -70, 21
-454, -253, -17042, -9, -55, 27
-437, -247, -17086, -2, -29, 29
-451, -264, -17040, -3, -60, 24
-459, -247, -17039, -8, -42, 30
-425, -261, -17061, -6, -36, 30
-471, -265, -17027, -10, -57, 21
-451, -241, -17086, -6, -35, 29
-442, -254, -17077, -10, -16, 31
-437, -237, -17069, -4, -60, 22
-445, -243, -17083, 2, -71, 21
-450, -254, -17063, -1, -54, 30
-425, -246, -17059, 0, -36, 33
-443, -250, -17091, -4, -69, 24
-445, -235, -17092, -1, -54, 24
-445, -252, -17074, -2, -25, 33
-466, -259, -17086, -2, -63, 25
-449, -256, -17012, 12, -85, 21
-446, -242, -17070, -7, -33, 32
-455, -266, -17066, -14, -24, 32
-421, -235, -17080, -5, -60, 33
-465, -256, -17081, -5, -32, 36
-468, -258, -17046, 1, -47, 28
-435, -248, -17072, -3, -66, 19
-443, -253, -17099, -8, -50, 21
-448, -253, -17060, -4, -35, 24
-454, -265, -17042, -7, -67, 21
-449, -252, -17054, 4, -61, 18
-431, -234, -17080, -5, -34, 27
-438, -251, -17074, -2, -50, 23
-441, -241, -17055, 4, -77, 23
-461, -248, -17083, -19, -13, 40
-440, -248, -17086, 9, -66, 20
-442, -238, -17077, -5, -74, 19
-437, -259, -17076, -8, -27, 23
-454, -248, -17060, -1, -33, 25
-445, -241, -17105, 2, -77, 19
-460, -258, -17047, 1, -66, 23
-445, -239, -17072, -3, -34, 25
-449, -259, -17075, -12, -61, 28
-452, -260, -17039, 1, -86, 18
-439, -247, -17078, -4, -38, 23
-465, -267, -17072, 1, -65, 21
-425, -244, -17066, -6, -46, 29
-444, -258, -17081, -6, -36, 27
-450, -267, -17065, 0, -61, 26
-445, -252, -17065, 4, -59, 20
-443, -249, -17076, 1, -55, 25
-433, -238, -17065, -7, -30, 29
-462, -257, -17054, -2, -68, 23
-459, -265, -17067, -7, -34, 36
-446, -244, -17037, -22, -3, 37
-432, -251, -17082, -2, -70, 25
-449, -252, -17057, -6, -73, 16
-453, -242, -17082, -2, -25, 28
-448, -248, -17089, 6, -75, 15
-443, -244, -17064, 2, -53, 26
-468, -245, -17051, -9, -12, 32
-456, -262, -17089, 4, -47, 25
-445, -239, -17079, -8, -63, 30
-443, -245, -17081, 1, -61, 23
-424, -257, -17077, 1, -39, 27
-453, -247, -17074, 1, -70, 24
-463, -271, -17063, 9, -72, 15
-438, -246, -17060, -5, -40, 28
-462, -241, -17066, -9, -50, 35
-455, -251, -17065, 3, -78, 18
-441, -237, -17065, 6, -66, 23
-445, -263, -17052, 2, -47, 22
-447, -257, -17054, -2, -69, 29
-442, -246, -17068, -17, -35, 33
-458, -268, -17081, -1, -47, 29
-439, -250, -17072, -15, -53, 29
-443, -255, -17073, -1, -37, 32
-447, -253, -17044, -6, -40, 27
-434, -244, -17080, -6, -55, 28
-445, -260, -17086, 5, -62, 28
-438, -257, -17096, -8, -58, 23
-441, -232, -17076, -8, -42, 24
-444, -255, -17075, 3, -74, 25
-446, -259, -17054, -14, -14, 27
-453, -261, -17068, -2, -46, 29
-452, -240, -17058, -1, -74, 21
-459, -252, -17063, -8, -35, 31
-463, -263, -17082, -16, -12, 28
-443, -255, -17065, 1, -73, 25
-434, -237, -17065, 5, -66, 16
-442, -259, -17042, 9, -39, 29
-418, -237, -17076, -6, -51, 24
-446, -269, -17104, -3, -57, 28
-440, -245, -17066, 2, -43, 27
-448, -246, -17082, 8, -82, 14
-448, -251, -17073, -4, -56, 21
-457, -250, -17047, -7, -28, 32
-439, -249, -17075, 0, -66, 23
-455, -248, -17059, 7, -71, 20
-435, -251, -17073, -2, -39, 25
-458, -261, -17078, 3, -50, 23
-436, -241, -17059, -9, -72, 26
-428, -246, -17091, -14, -26, 33
-447, -262, -17065, 5, -51, 22
-448, -250, -17056, -3, -51, 34
-457, -254, -17052, -5, -45, 27
-436, -236, -17065, -1, -67, 23
-451, -253, -17088, 1, -70, 26
-432, -257, -17065, -3, -26, 29
-441, -233, -17088, -7, -45, 23
-446, -247, -17065, 0, -67, 31
-444, -238, -17072, -13, -24, 31
-472, -258, -17036, 3, -56, 22
-455, -252, -17065, 3, -65, 19
-440, -244, -17045, -9, -18, 35
-434, -249, -17052, -4, -63, 20
-444, -250, -17061, -6, -62, 23
-479, -264, -17044, 6, -55, 23
-455, -256, -17046, 1, -56, 23
-431, -253, -17051, 9, -85, 17
-446, -270, -17081, -1, -27, 27
-427, -249, -17084, -9, -38, 31
-446, -253, -17069, -8, -49, 21
-454, -265, -17052, 8, -55, 12
-441, -255, -17059, -7, -41, 28
-456, -268, -17067, -2, -66, 24
-456, -249, -17054, -3, -22, 26
-442, -244, -17087, 3, -51, 23
-460, -259, -17092, -5, -56, 21
-447, -250, -17062, -8, -63, 28
-454, -257, -17085, -11, -7, 32
-453, -260, -17058, -9, -33, 24
-458, -245, -17074, 1, -58, 25
-443, -248, -17080, 1, -77, 17
-445, -251, -17075, 0, -35, 28
-442, -249, -17055, 5, -44, 22
-439, -245, -17085, -6, -55, 25
-457, -258, -17069, -7, -74, 23
-427, -244, -17076, -17, -45, 34
-449, -254, -17083, -7, -31, 27
-450, -259, -17072, -9, -32, 35
-444, -245, -17059, 1, -71, 15
-445, -250, -17072, 12, -86, 16
-452, -255, -17082, -8, -37, 30
-442, -250, -17047, -6, -37, 27
-470, -246, -17076, -7, -28, 29
-458, -266, -17055, -1, -74, 20
-429, -240, -17055, -12, -40, 32
-451, -253, -17067, -12, -21, 38
-444, -260, -17079, -11, -18, 31
-436, -247, -17079, 8, -78, 16
-450, -249, -17090, -1, -71, 23
-446, -246, -17080, -10, -34, 35
-437, -244, -17069, 4, -58, 19
-473, -264, -17062, -3, -47, 29
-457, -260, -17060, 9, -85, 12
-446, -254, -17079, -12, -31, 31
-456, -239, -17065, 9, -50, 22
-447, -253, -17042, 2, -34, 19
-420, -234, -17070, -4, -61, 20
-440, -255, -17083, 2, -70, 17
-442, -247, -17058, -9, -47, 29
-444, -243, -17082, -9, -21, 30
-442, -252, -17073, -3, -33, 22
-453, -247, -17053, -2, -76, 22
-438, -236, -17087, -7, -37, 30
-444, -256, -17082, -3, -36, 29
-462, -261, -17063, -12, -15, 25
-443, -240, -17055, 6, -48, 22
-458, -268, -17040, 0, -51, 23
-461, -268, -17047, 1, -73, 21
-453, -251, -17033, 0, -49, 24
-448, -256, -17090, -2, -52, 18
-427, -254, -17101, -5, -64, 23
-440, -250, -17067, 3, -69, 19
-456, -255, -17075, 1, -39, 28
-452, -265, -17065, -7, -23, 26
-439, -245, -17052, -5, -56, 28
-446, -249, -17096, 3, -67, 21
-464, -276, -17068, 5, -79, 22
-442, -249, -17068, -13, -15, 31
-440, -253, -17091, -5, -38, 29
-465, -266, -17058, -1, -51, 25
-454, -254, -17047, -4, -70, 27
-446, -242, -17074, -3, -25, 31
-452, -252, -17055, -10, -14, 37
-459, -248, -17061, -4, -40, 27
-451, -256, -17052, -13, -52, 30
